date,scheme_code,scheme_name,nav
2022-03-01,100000,SBI Mutual Fund Equity Fund 1,60.473
2022-03-02,100000,SBI Mutual Fund Equity Fund 1,61.429
2022-03-03,100000,SBI Mutual Fund Equity Fund 1,59.8095
2022-03-04,100000,SBI Mutual Fund Equity Fund 1,60.3073
2022-03-07,100000,SBI Mutual Fund Equity Fund 1,60.3626
2022-03-08,100000,SBI Mutual Fund Equity Fund 1,60.1831
2022-03-09,100000,SBI Mutual Fund Equity Fund 1,60.2411
2022-03-10,100000,SBI Mutual Fund Equity Fund 1,59.0367
2022-03-11,100000,SBI Mutual Fund Equity Fund 1,58.9084
2022-03-14,100000,SBI Mutual Fund Equity Fund 1,59.1227
2022-03-15,100000,SBI Mutual Fund Equity Fund 1,60.0058
2022-03-16,100000,SBI Mutual Fund Equity Fund 1,59.6947
2022-03-17,100000,SBI Mutual Fund Equity Fund 1,59.2106
2022-03-18,100000,SBI Mutual Fund Equity Fund 1,58.9135
2022-03-21,100000,SBI Mutual Fund Equity Fund 1,59.4594
2022-03-22,100000,SBI Mutual Fund Equity Fund 1,59.6588
2022-03-23,100000,SBI Mutual Fund Equity Fund 1,59.3426
2022-03-24,100000,SBI Mutual Fund Equity Fund 1,59.652
2022-03-25,100000,SBI Mutual Fund Equity Fund 1,59.7127
2022-03-28,100000,SBI Mutual Fund Equity Fund 1,60.298
2022-03-29,100000,SBI Mutual Fund Equity Fund 1,59.8738
2022-03-30,100000,SBI Mutual Fund Equity Fund 1,59.6784
2022-03-31,100000,SBI Mutual Fund Equity Fund 1,59.4449
2022-04-01,100000,SBI Mutual Fund Equity Fund 1,58.5704
2022-04-04,100000,SBI Mutual Fund Equity Fund 1,58.7476
2022-04-05,100000,SBI Mutual Fund Equity Fund 1,58.9045
2022-04-06,100000,SBI Mutual Fund Equity Fund 1,58.9098
2022-04-07,100000,SBI Mutual Fund Equity Fund 1,58.7729
2022-04-08,100000,SBI Mutual Fund Equity Fund 1,57.9368
2022-04-11,100000,SBI Mutual Fund Equity Fund 1,57.6935
2022-04-12,100000,SBI Mutual Fund Equity Fund 1,57.4965
2022-04-13,100000,SBI Mutual Fund Equity Fund 1,57.0338
2022-04-14,100000,SBI Mutual Fund Equity Fund 1,56.9434
2022-04-15,100000,SBI Mutual Fund Equity Fund 1,57.1775
2022-04-18,100000,SBI Mutual Fund Equity Fund 1,58.2668
2022-04-19,100000,SBI Mutual Fund Equity Fund 1,58.3716
2022-04-20,100000,SBI Mutual Fund Equity Fund 1,58.5255
2022-04-21,100000,SBI Mutual Fund Equity Fund 1,58.4839
2022-04-22,100000,SBI Mutual Fund Equity Fund 1,57.3551
2022-04-25,100000,SBI Mutual Fund Equity Fund 1,57.3421
2022-04-26,100000,SBI Mutual Fund Equity Fund 1,57.3792
2022-04-27,100000,SBI Mutual Fund Equity Fund 1,58.806
2022-04-28,100000,SBI Mutual Fund Equity Fund 1,58.6943
2022-04-29,100000,SBI Mutual Fund Equity Fund 1,58.8751
2022-05-02,100000,SBI Mutual Fund Equity Fund 1,58.8568
2022-05-03,100000,SBI Mutual Fund Equity Fund 1,58.1659
2022-05-04,100000,SBI Mutual Fund Equity Fund 1,58.8381
2022-05-05,100000,SBI Mutual Fund Equity Fund 1,59.2864
2022-05-06,100000,SBI Mutual Fund Equity Fund 1,59.7614
2022-05-09,100000,SBI Mutual Fund Equity Fund 1,59.216
2022-05-10,100000,SBI Mutual Fund Equity Fund 1,60.0556
2022-05-11,100000,SBI Mutual Fund Equity Fund 1,59.2095
2022-05-12,100000,SBI Mutual Fund Equity Fund 1,59.5621
2022-05-13,100000,SBI Mutual Fund Equity Fund 1,60.8794
2022-05-16,100000,SBI Mutual Fund Equity Fund 1,60.274
2022-05-17,100000,SBI Mutual Fund Equity Fund 1,59.9324
2022-05-18,100000,SBI Mutual Fund Equity Fund 1,59.995
2022-05-19,100000,SBI Mutual Fund Equity Fund 1,59.6929
2022-05-20,100000,SBI Mutual Fund Equity Fund 1,58.7623
2022-05-23,100000,SBI Mutual Fund Equity Fund 1,58.8053
2022-05-24,100000,SBI Mutual Fund Equity Fund 1,58.178
2022-05-25,100000,SBI Mutual Fund Equity Fund 1,58.458
2022-05-26,100000,SBI Mutual Fund Equity Fund 1,57.9186
2022-05-27,100000,SBI Mutual Fund Equity Fund 1,58.8257
2022-05-30,100000,SBI Mutual Fund Equity Fund 1,58.3636
2022-05-31,100000,SBI Mutual Fund Equity Fund 1,58.1765
2022-06-01,100000,SBI Mutual Fund Equity Fund 1,58.6558
2022-06-02,100000,SBI Mutual Fund Equity Fund 1,57.9304
2022-06-03,100000,SBI Mutual Fund Equity Fund 1,58.0655
2022-06-06,100000,SBI Mutual Fund Equity Fund 1,58.8328
2022-06-07,100000,SBI Mutual Fund Equity Fund 1,57.882
2022-06-08,100000,SBI Mutual Fund Equity Fund 1,57.992
2022-06-09,100000,SBI Mutual Fund Equity Fund 1,58.1462
2022-06-10,100000,SBI Mutual Fund Equity Fund 1,58.6067
2022-06-13,100000,SBI Mutual Fund Equity Fund 1,57.8784
2022-06-14,100000,SBI Mutual Fund Equity Fund 1,57.1103
2022-06-15,100000,SBI Mutual Fund Equity Fund 1,57.4131
2022-06-16,100000,SBI Mutual Fund Equity Fund 1,57.5872
2022-06-17,100000,SBI Mutual Fund Equity Fund 1,57.7349
2022-06-20,100000,SBI Mutual Fund Equity Fund 1,57.9388
2022-06-21,100000,SBI Mutual Fund Equity Fund 1,57.5439
2022-06-22,100000,SBI Mutual Fund Equity Fund 1,57.6809
2022-06-23,100000,SBI Mutual Fund Equity Fund 1,57.8536
2022-06-24,100000,SBI Mutual Fund Equity Fund 1,57.4394
2022-06-27,100000,SBI Mutual Fund Equity Fund 1,58.5218
2022-06-28,100000,SBI Mutual Fund Equity Fund 1,58.8036
2022-06-29,100000,SBI Mutual Fund Equity Fund 1,58.0999
2022-06-30,100000,SBI Mutual Fund Equity Fund 1,58.4867
2022-07-01,100000,SBI Mutual Fund Equity Fund 1,57.9144
2022-07-04,100000,SBI Mutual Fund Equity Fund 1,58.3761
2022-07-05,100000,SBI Mutual Fund Equity Fund 1,59.0602
2022-07-06,100000,SBI Mutual Fund Equity Fund 1,58.574
2022-07-07,100000,SBI Mutual Fund Equity Fund 1,59.145
2022-07-08,100000,SBI Mutual Fund Equity Fund 1,59.3935
2022-07-11,100000,SBI Mutual Fund Equity Fund 1,59.8879
2022-07-12,100000,SBI Mutual Fund Equity Fund 1,61.0352
2022-07-13,100000,SBI Mutual Fund Equity Fund 1,60.8867
2022-07-14,100000,SBI Mutual Fund Equity Fund 1,60.4266
2022-07-15,100000,SBI Mutual Fund Equity Fund 1,59.8872
2022-07-18,100000,SBI Mutual Fund Equity Fund 1,59.3972
2022-07-19,100000,SBI Mutual Fund Equity Fund 1,59.3533
2022-07-20,100000,SBI Mutual Fund Equity Fund 1,59.5598
2022-07-21,100000,SBI Mutual Fund Equity Fund 1,59.7283
2022-07-22,100000,SBI Mutual Fund Equity Fund 1,60.2286
2022-07-25,100000,SBI Mutual Fund Equity Fund 1,60.2389
2022-07-26,100000,SBI Mutual Fund Equity Fund 1,61.1238
2022-07-27,100000,SBI Mutual Fund Equity Fund 1,60.9632
2022-07-28,100000,SBI Mutual Fund Equity Fund 1,62.637
2022-07-29,100000,SBI Mutual Fund Equity Fund 1,63.0345
2022-08-01,100000,SBI Mutual Fund Equity Fund 1,62.4924
2022-08-02,100000,SBI Mutual Fund Equity Fund 1,61.8204
2022-08-03,100000,SBI Mutual Fund Equity Fund 1,62.1234
2022-08-04,100000,SBI Mutual Fund Equity Fund 1,61.986
2022-08-05,100000,SBI Mutual Fund Equity Fund 1,62.4345
2022-08-08,100000,SBI Mutual Fund Equity Fund 1,62.7348
2022-08-09,100000,SBI Mutual Fund Equity Fund 1,62.6912
2022-08-10,100000,SBI Mutual Fund Equity Fund 1,62.1587
2022-08-11,100000,SBI Mutual Fund Equity Fund 1,61.2121
2022-08-12,100000,SBI Mutual Fund Equity Fund 1,60.939
2022-08-15,100000,SBI Mutual Fund Equity Fund 1,61.4674
2022-08-16,100000,SBI Mutual Fund Equity Fund 1,61.6025
2022-08-17,100000,SBI Mutual Fund Equity Fund 1,60.8315
2022-08-18,100000,SBI Mutual Fund Equity Fund 1,60.9401
2022-08-19,100000,SBI Mutual Fund Equity Fund 1,61.1792
2022-08-22,100000,SBI Mutual Fund Equity Fund 1,60.6366
2022-08-23,100000,SBI Mutual Fund Equity Fund 1,60.733
2022-08-24,100000,SBI Mutual Fund Equity Fund 1,60.771
2022-08-25,100000,SBI Mutual Fund Equity Fund 1,60.0733
2022-08-26,100000,SBI Mutual Fund Equity Fund 1,60.2923
2022-08-29,100000,SBI Mutual Fund Equity Fund 1,60.6355
2022-08-30,100000,SBI Mutual Fund Equity Fund 1,61.2998
2022-08-31,100000,SBI Mutual Fund Equity Fund 1,61.9533
2022-09-01,100000,SBI Mutual Fund Equity Fund 1,61.0955
2022-09-02,100000,SBI Mutual Fund Equity Fund 1,60.5205
2022-09-05,100000,SBI Mutual Fund Equity Fund 1,60.837
2022-09-06,100000,SBI Mutual Fund Equity Fund 1,61.1545
2022-09-07,100000,SBI Mutual Fund Equity Fund 1,61.4744
2022-09-08,100000,SBI Mutual Fund Equity Fund 1,63.864
2022-09-09,100000,SBI Mutual Fund Equity Fund 1,64.234
2022-09-12,100000,SBI Mutual Fund Equity Fund 1,64.9717
2022-09-13,100000,SBI Mutual Fund Equity Fund 1,65.599
2022-09-14,100000,SBI Mutual Fund Equity Fund 1,66.0323
2022-09-15,100000,SBI Mutual Fund Equity Fund 1,65.8251
2022-09-16,100000,SBI Mutual Fund Equity Fund 1,66.3313
2022-09-19,100000,SBI Mutual Fund Equity Fund 1,65.8172
2022-09-20,100000,SBI Mutual Fund Equity Fund 1,65.6627
2022-09-21,100000,SBI Mutual Fund Equity Fund 1,65.3441
2022-09-22,100000,SBI Mutual Fund Equity Fund 1,65.4006
2022-09-23,100000,SBI Mutual Fund Equity Fund 1,66.929
2022-09-26,100000,SBI Mutual Fund Equity Fund 1,65.672
2022-09-27,100000,SBI Mutual Fund Equity Fund 1,66.1289
2022-09-28,100000,SBI Mutual Fund Equity Fund 1,65.0566
2022-09-29,100000,SBI Mutual Fund Equity Fund 1,64.7497
2022-09-30,100000,SBI Mutual Fund Equity Fund 1,65.463
2022-10-03,100000,SBI Mutual Fund Equity Fund 1,65.508
2022-10-04,100000,SBI Mutual Fund Equity Fund 1,64.799
2022-10-05,100000,SBI Mutual Fund Equity Fund 1,64.3344
2022-10-06,100000,SBI Mutual Fund Equity Fund 1,64.7776
2022-10-07,100000,SBI Mutual Fund Equity Fund 1,64.3033
2022-10-10,100000,SBI Mutual Fund Equity Fund 1,64.4462
2022-10-11,100000,SBI Mutual Fund Equity Fund 1,64.4783
2022-10-12,100000,SBI Mutual Fund Equity Fund 1,64.0574
2022-10-13,100000,SBI Mutual Fund Equity Fund 1,65.4442
2022-10-14,100000,SBI Mutual Fund Equity Fund 1,65.8649
2022-10-17,100000,SBI Mutual Fund Equity Fund 1,64.5231
2022-10-18,100000,SBI Mutual Fund Equity Fund 1,64.647
2022-10-19,100000,SBI Mutual Fund Equity Fund 1,64.2183
2022-10-20,100000,SBI Mutual Fund Equity Fund 1,64.7726
2022-10-21,100000,SBI Mutual Fund Equity Fund 1,64.2578
2022-10-24,100000,SBI Mutual Fund Equity Fund 1,64.186
2022-10-25,100000,SBI Mutual Fund Equity Fund 1,64.5153
2022-10-26,100000,SBI Mutual Fund Equity Fund 1,65.0808
2022-10-27,100000,SBI Mutual Fund Equity Fund 1,64.296
2022-10-28,100000,SBI Mutual Fund Equity Fund 1,64.0818
2022-10-31,100000,SBI Mutual Fund Equity Fund 1,63.7776
2022-11-01,100000,SBI Mutual Fund Equity Fund 1,63.3602
2022-11-02,100000,SBI Mutual Fund Equity Fund 1,64.4901
2022-11-03,100000,SBI Mutual Fund Equity Fund 1,64.7559
2022-11-04,100000,SBI Mutual Fund Equity Fund 1,63.9355
2022-11-07,100000,SBI Mutual Fund Equity Fund 1,64.5295
2022-11-08,100000,SBI Mutual Fund Equity Fund 1,65.9123
2022-11-09,100000,SBI Mutual Fund Equity Fund 1,66.6009
2022-11-10,100000,SBI Mutual Fund Equity Fund 1,65.5836
2022-11-11,100000,SBI Mutual Fund Equity Fund 1,65.2661
2022-11-14,100000,SBI Mutual Fund Equity Fund 1,66.1021
2022-11-15,100000,SBI Mutual Fund Equity Fund 1,65.6332
2022-11-16,100000,SBI Mutual Fund Equity Fund 1,65.9294
2022-11-17,100000,SBI Mutual Fund Equity Fund 1,66.4468
2022-11-18,100000,SBI Mutual Fund Equity Fund 1,65.8287
2022-11-21,100000,SBI Mutual Fund Equity Fund 1,65.7918
2022-11-22,100000,SBI Mutual Fund Equity Fund 1,63.645
2022-11-23,100000,SBI Mutual Fund Equity Fund 1,62.9904
2022-11-24,100000,SBI Mutual Fund Equity Fund 1,62.8326
2022-11-25,100000,SBI Mutual Fund Equity Fund 1,62.0449
2022-11-28,100000,SBI Mutual Fund Equity Fund 1,63.0682
2022-11-29,100000,SBI Mutual Fund Equity Fund 1,62.1616
2022-11-30,100000,SBI Mutual Fund Equity Fund 1,61.8883
2022-12-01,100000,SBI Mutual Fund Equity Fund 1,61.9723
2022-12-02,100000,SBI Mutual Fund Equity Fund 1,62.8751
2022-12-05,100000,SBI Mutual Fund Equity Fund 1,61.9676
2022-12-06,100000,SBI Mutual Fund Equity Fund 1,62.6966
2022-12-07,100000,SBI Mutual Fund Equity Fund 1,62.7055
2022-12-08,100000,SBI Mutual Fund Equity Fund 1,62.0877
2022-12-09,100000,SBI Mutual Fund Equity Fund 1,62.3793
2022-12-12,100000,SBI Mutual Fund Equity Fund 1,62.5069
2022-12-13,100000,SBI Mutual Fund Equity Fund 1,62.1313
2022-12-14,100000,SBI Mutual Fund Equity Fund 1,62.1775
2022-12-15,100000,SBI Mutual Fund Equity Fund 1,61.9385
2022-12-16,100000,SBI Mutual Fund Equity Fund 1,62.0118
2022-12-19,100000,SBI Mutual Fund Equity Fund 1,62.4281
2022-12-20,100000,SBI Mutual Fund Equity Fund 1,63.4285
2022-12-21,100000,SBI Mutual Fund Equity Fund 1,62.6397
2022-12-22,100000,SBI Mutual Fund Equity Fund 1,63.9889
2022-12-23,100000,SBI Mutual Fund Equity Fund 1,62.7324
2022-12-26,100000,SBI Mutual Fund Equity Fund 1,62.6389
2022-12-27,100000,SBI Mutual Fund Equity Fund 1,63.0128
2022-12-28,100000,SBI Mutual Fund Equity Fund 1,63.1938
2022-12-29,100000,SBI Mutual Fund Equity Fund 1,62.7997
2022-12-30,100000,SBI Mutual Fund Equity Fund 1,62.6705
2023-01-02,100000,SBI Mutual Fund Equity Fund 1,62.5459
2023-01-03,100000,SBI Mutual Fund Equity Fund 1,62.3798
2023-01-04,100000,SBI Mutual Fund Equity Fund 1,62.8362
2023-01-05,100000,SBI Mutual Fund Equity Fund 1,63.0814
2023-01-06,100000,SBI Mutual Fund Equity Fund 1,62.8686
2023-01-09,100000,SBI Mutual Fund Equity Fund 1,63.3503
2023-01-10,100000,SBI Mutual Fund Equity Fund 1,63.5757
2023-01-11,100000,SBI Mutual Fund Equity Fund 1,64.0246
2023-01-12,100000,SBI Mutual Fund Equity Fund 1,64.3954
2023-01-13,100000,SBI Mutual Fund Equity Fund 1,64.1175
2023-01-16,100000,SBI Mutual Fund Equity Fund 1,63.9602
2023-01-17,100000,SBI Mutual Fund Equity Fund 1,64.3828
2023-01-18,100000,SBI Mutual Fund Equity Fund 1,64.7471
2023-01-19,100000,SBI Mutual Fund Equity Fund 1,64.8302
2023-01-20,100000,SBI Mutual Fund Equity Fund 1,64.9755
2023-01-23,100000,SBI Mutual Fund Equity Fund 1,65.6436
2023-01-24,100000,SBI Mutual Fund Equity Fund 1,65.4683
2023-01-25,100000,SBI Mutual Fund Equity Fund 1,65.81
2023-01-26,100000,SBI Mutual Fund Equity Fund 1,65.8118
2023-01-27,100000,SBI Mutual Fund Equity Fund 1,65.8066
2023-01-30,100000,SBI Mutual Fund Equity Fund 1,66.4016
2023-01-31,100000,SBI Mutual Fund Equity Fund 1,66.8763
2023-02-01,100000,SBI Mutual Fund Equity Fund 1,67.3488
2023-02-02,100000,SBI Mutual Fund Equity Fund 1,68.0543
2023-02-03,100000,SBI Mutual Fund Equity Fund 1,68.1614
2023-02-06,100000,SBI Mutual Fund Equity Fund 1,68.5808
2023-02-07,100000,SBI Mutual Fund Equity Fund 1,68.5314
2023-02-08,100000,SBI Mutual Fund Equity Fund 1,68.7832
2023-02-09,100000,SBI Mutual Fund Equity Fund 1,68.8194
2023-02-10,100000,SBI Mutual Fund Equity Fund 1,68.964
2023-02-13,100000,SBI Mutual Fund Equity Fund 1,69.3469
2023-02-14,100000,SBI Mutual Fund Equity Fund 1,69.0528
2023-02-15,100000,SBI Mutual Fund Equity Fund 1,70.1527
2023-02-16,100000,SBI Mutual Fund Equity Fund 1,69.7639
2023-02-17,100000,SBI Mutual Fund Equity Fund 1,69.2766
2023-02-20,100000,SBI Mutual Fund Equity Fund 1,69.9315
2023-02-21,100000,SBI Mutual Fund Equity Fund 1,70.415
2023-02-22,100000,SBI Mutual Fund Equity Fund 1,70.8201
2023-02-23,100000,SBI Mutual Fund Equity Fund 1,71.2296
2023-02-24,100000,SBI Mutual Fund Equity Fund 1,71.3253
2023-02-27,100000,SBI Mutual Fund Equity Fund 1,70.9838
2023-02-28,100000,SBI Mutual Fund Equity Fund 1,71.1225
2023-03-01,100000,SBI Mutual Fund Equity Fund 1,70.8903
2023-03-02,100000,SBI Mutual Fund Equity Fund 1,71.4706
2023-03-03,100000,SBI Mutual Fund Equity Fund 1,71.4999
2023-03-06,100000,SBI Mutual Fund Equity Fund 1,71.193
2023-03-07,100000,SBI Mutual Fund Equity Fund 1,71.1362
2023-03-08,100000,SBI Mutual Fund Equity Fund 1,71.4414
2023-03-09,100000,SBI Mutual Fund Equity Fund 1,71.2644
2023-03-10,100000,SBI Mutual Fund Equity Fund 1,70.9601
2023-03-13,100000,SBI Mutual Fund Equity Fund 1,71.1813
2023-03-14,100000,SBI Mutual Fund Equity Fund 1,71.4039
2023-03-15,100000,SBI Mutual Fund Equity Fund 1,71.255
2023-03-16,100000,SBI Mutual Fund Equity Fund 1,71.1243
2023-03-17,100000,SBI Mutual Fund Equity Fund 1,71.3402
2023-03-20,100000,SBI Mutual Fund Equity Fund 1,70.7263
2023-03-21,100000,SBI Mutual Fund Equity Fund 1,70.1375
2023-03-22,100000,SBI Mutual Fund Equity Fund 1,69.8886
2023-03-23,100000,SBI Mutual Fund Equity Fund 1,69.885
2023-03-24,100000,SBI Mutual Fund Equity Fund 1,70.1354
2023-03-27,100000,SBI Mutual Fund Equity Fund 1,70.9526
2023-03-28,100000,SBI Mutual Fund Equity Fund 1,71.4757
2023-03-29,100000,SBI Mutual Fund Equity Fund 1,71.4986
2023-03-30,100000,SBI Mutual Fund Equity Fund 1,71.5913
2023-03-31,100000,SBI Mutual Fund Equity Fund 1,71.1962
2023-04-03,100000,SBI Mutual Fund Equity Fund 1,71.2888
2023-04-04,100000,SBI Mutual Fund Equity Fund 1,71.2481
2023-04-05,100000,SBI Mutual Fund Equity Fund 1,71.5092
2023-04-06,100000,SBI Mutual Fund Equity Fund 1,71.2014
2023-04-07,100000,SBI Mutual Fund Equity Fund 1,71.5594
2023-04-10,100000,SBI Mutual Fund Equity Fund 1,72.4216
2023-04-11,100000,SBI Mutual Fund Equity Fund 1,72.4705
2023-04-12,100000,SBI Mutual Fund Equity Fund 1,72.7758
2023-04-13,100000,SBI Mutual Fund Equity Fund 1,73.2278
2023-04-14,100000,SBI Mutual Fund Equity Fund 1,73.1288
2023-04-17,100000,SBI Mutual Fund Equity Fund 1,73.3468
2023-04-18,100000,SBI Mutual Fund Equity Fund 1,73.458
2023-04-19,100000,SBI Mutual Fund Equity Fund 1,73.6126
2023-04-20,100000,SBI Mutual Fund Equity Fund 1,73.3235
2023-04-21,100000,SBI Mutual Fund Equity Fund 1,73.4407
2023-04-24,100000,SBI Mutual Fund Equity Fund 1,73.799
2023-04-25,100000,SBI Mutual Fund Equity Fund 1,74.6466
2023-04-26,100000,SBI Mutual Fund Equity Fund 1,75.2494
2023-04-27,100000,SBI Mutual Fund Equity Fund 1,76.4796
2023-04-28,100000,SBI Mutual Fund Equity Fund 1,76.1822
2023-05-01,100000,SBI Mutual Fund Equity Fund 1,76.7515
2023-05-02,100000,SBI Mutual Fund Equity Fund 1,76.9587
2023-05-03,100000,SBI Mutual Fund Equity Fund 1,78.2364
2023-05-04,100000,SBI Mutual Fund Equity Fund 1,77.91
2023-05-05,100000,SBI Mutual Fund Equity Fund 1,77.5679
2023-05-08,100000,SBI Mutual Fund Equity Fund 1,77.3566
2023-05-09,100000,SBI Mutual Fund Equity Fund 1,76.3286
2023-05-10,100000,SBI Mutual Fund Equity Fund 1,76.1596
2023-05-11,100000,SBI Mutual Fund Equity Fund 1,75.8677
2023-05-12,100000,SBI Mutual Fund Equity Fund 1,76.0552
2023-05-15,100000,SBI Mutual Fund Equity Fund 1,76.3439
2023-05-16,100000,SBI Mutual Fund Equity Fund 1,77.4455
2023-05-17,100000,SBI Mutual Fund Equity Fund 1,78.0662
2023-05-18,100000,SBI Mutual Fund Equity Fund 1,77.8657
2023-05-19,100000,SBI Mutual Fund Equity Fund 1,77.4921
2023-05-22,100000,SBI Mutual Fund Equity Fund 1,77.867
2023-05-23,100000,SBI Mutual Fund Equity Fund 1,77.2659
2023-05-24,100000,SBI Mutual Fund Equity Fund 1,78.3568
2023-05-25,100000,SBI Mutual Fund Equity Fund 1,79.1092
2023-05-26,100000,SBI Mutual Fund Equity Fund 1,78.965
2023-05-29,100000,SBI Mutual Fund Equity Fund 1,78.1404
2023-05-30,100000,SBI Mutual Fund Equity Fund 1,78.9851
2023-05-31,100000,SBI Mutual Fund Equity Fund 1,79.0352
2023-06-01,100000,SBI Mutual Fund Equity Fund 1,79.8261
2023-06-02,100000,SBI Mutual Fund Equity Fund 1,79.0582
2023-06-05,100000,SBI Mutual Fund Equity Fund 1,78.8427
2023-06-06,100000,SBI Mutual Fund Equity Fund 1,78.9582
2023-06-07,100000,SBI Mutual Fund Equity Fund 1,79.0967
2023-06-08,100000,SBI Mutual Fund Equity Fund 1,78.9631
2023-06-09,100000,SBI Mutual Fund Equity Fund 1,79.4167
2023-06-12,100000,SBI Mutual Fund Equity Fund 1,78.9426
2023-06-13,100000,SBI Mutual Fund Equity Fund 1,78.9775
2023-06-14,100000,SBI Mutual Fund Equity Fund 1,79.1561
2023-06-15,100000,SBI Mutual Fund Equity Fund 1,79.5514
2023-06-16,100000,SBI Mutual Fund Equity Fund 1,80.0573
2023-06-19,100000,SBI Mutual Fund Equity Fund 1,79.5478
2023-06-20,100000,SBI Mutual Fund Equity Fund 1,78.8158
2023-06-21,100000,SBI Mutual Fund Equity Fund 1,79.6262
2023-06-22,100000,SBI Mutual Fund Equity Fund 1,79.9233
2023-06-23,100000,SBI Mutual Fund Equity Fund 1,79.623
2023-06-26,100000,SBI Mutual Fund Equity Fund 1,80.5925
2023-06-27,100000,SBI Mutual Fund Equity Fund 1,80.7723
2023-06-28,100000,SBI Mutual Fund Equity Fund 1,81.5477
2023-06-29,100000,SBI Mutual Fund Equity Fund 1,81.7023
2023-06-30,100000,SBI Mutual Fund Equity Fund 1,82.9857
2023-07-03,100000,SBI Mutual Fund Equity Fund 1,84.1137
2023-07-04,100000,SBI Mutual Fund Equity Fund 1,84.0887
2023-07-05,100000,SBI Mutual Fund Equity Fund 1,84.775
2023-07-06,100000,SBI Mutual Fund Equity Fund 1,85.2752
2023-07-07,100000,SBI Mutual Fund Equity Fund 1,86.2057
2023-07-10,100000,SBI Mutual Fund Equity Fund 1,85.7525
2023-07-11,100000,SBI Mutual Fund Equity Fund 1,86.2827
2023-07-12,100000,SBI Mutual Fund Equity Fund 1,87.0387
2023-07-13,100000,SBI Mutual Fund Equity Fund 1,86.1023
2023-07-14,100000,SBI Mutual Fund Equity Fund 1,85.5194
2023-07-17,100000,SBI Mutual Fund Equity Fund 1,84.4331
2023-07-18,100000,SBI Mutual Fund Equity Fund 1,84.3961
2023-07-19,100000,SBI Mutual Fund Equity Fund 1,84.9363
2023-07-20,100000,SBI Mutual Fund Equity Fund 1,85.9419
2023-07-21,100000,SBI Mutual Fund Equity Fund 1,86.1088
2023-07-24,100000,SBI Mutual Fund Equity Fund 1,87.2035
2023-07-25,100000,SBI Mutual Fund Equity Fund 1,86.4942
2023-07-26,100000,SBI Mutual Fund Equity Fund 1,85.5968
2023-07-27,100000,SBI Mutual Fund Equity Fund 1,85.6861
2023-07-28,100000,SBI Mutual Fund Equity Fund 1,86.0366
2023-07-31,100000,SBI Mutual Fund Equity Fund 1,86.14
2023-08-01,100000,SBI Mutual Fund Equity Fund 1,85.029
